country,date,cases,deaths,recovered
China,1/22/2020,547,17,28
Japan,1/22/2020,2,0,0
Thailand,1/22/2020,2,0,0
Macao,1/22/2020,1,0,0
RepublicofKorea,1/22/2020,1,0,0
Taiwan,1/22/2020,1,0,0
US,1/22/2020,1,0,0
China,1/23/2020,639,18,30
Thailand,1/23/2020,3,0,0
HongKong,1/23/2020,2,0,0
Japan,1/23/2020,2,0,0
Macao,1/23/2020,2,0,0
Vietnam,1/23/2020,2,0,0
RepublicofKorea,1/23/2020,1,0,0
Singapore,1/23/2020,1,0,0
Taiwan,1/23/2020,1,0,0
US,1/23/2020,1,0,0
China,1/24/2020,916,26,36
Thailand,1/24/2020,5,0,0
Singapore,1/24/2020,3,0,0
Taiwan,1/24/2020,3,0,0
France,1/24/2020,2,0,0
HongKong,1/24/2020,2,0,0
Japan,1/24/2020,2,0,0
Macao,1/24/2020,2,0,0
RepublicofKorea,1/24/2020,2,0,0
US,1/24/2020,2,0,0
Vietnam,1/24/2020,2,0,0
China,1/25/2020,1399,42,39
Thailand,1/25/2020,7,0,0
HongKong,1/25/2020,5,0,0
France,1/25/2020,3,0,0
Malaysia,1/25/2020,3,0,0
Singapore,1/25/2020,3,0,0
Taiwan,1/25/2020,3,0,0
Japan,1/25/2020,2,0,0
Macao,1/25/2020,2,0,0
RepublicofKorea,1/25/2020,2,0,0
US,1/25/2020,2,0,0
Vietnam,1/25/2020,2,0,0
Nepal,1/25/2020,1,0,0
China,1/26/2020,2062,56,49
HongKong,1/26/2020,8,0,0
Thailand,1/26/2020,8,0,2
Macao,1/26/2020,5,0,0
US,1/26/2020,5,0,0
Australia,1/26/2020,4,0,0
Japan,1/26/2020,4,0,1
Malaysia,1/26/2020,4,0,0
Singapore,1/26/2020,4,0,0
Taiwan,1/26/2020,4,0,0
France,1/26/2020,3,0,0
RepublicofKorea,1/26/2020,3,0,0
Vietnam,1/26/2020,2,0,0
Canada,1/26/2020,1,0,0
Nepal,1/26/2020,1,0,0
China,1/27/2020,2863,82,58
HongKong,1/27/2020,8,0,0
Thailand,1/27/2020,8,0,2
Macao,1/27/2020,6,0,0
Australia,1/27/2020,5,0,0
Singapore,1/27/2020,5,0,0
Taiwan,1/27/2020,5,0,0
US,1/27/2020,5,0,0
Japan,1/27/2020,4,0,1
Malaysia,1/27/2020,4,0,0
RepublicofKorea,1/27/2020,4,0,0
France,1/27/2020,3,0,0
Vietnam,1/27/2020,2,0,0
Cambodia,1/27/2020,1,0,0
Canada,1/27/2020,1,0,0
Germany,1/27/2020,1,0,0
Nepal,1/27/2020,1,0,0
SriLanka,1/27/2020,1,0,0
China,1/28/2020,5494,131,101
Thailand,1/28/2020,14,0,5
HongKong,1/28/2020,8,0,0
Taiwan,1/28/2020,8,0,0
Japan,1/28/2020,7,0,1
Macao,1/28/2020,7,0,0
Singapore,1/28/2020,7,0,0
Australia,1/28/2020,5,0,0
US,1/28/2020,5,0,0
France,1/28/2020,4,0,0
Germany,1/28/2020,4,0,0
Malaysia,1/28/2020,4,0,0
RepublicofKorea,1/28/2020,4,0,0
Canada,1/28/2020,2,0,0
Vietnam,1/28/2020,2,0,0
Cambodia,1/28/2020,1,0,0
Nepal,1/28/2020,1,0,0
SriLanka,1/28/2020,1,0,0
China,1/29/2020,6070,133,120
Thailand,1/29/2020,14,0,5
HongKong,1/29/2020,10,0,0
Taiwan,1/29/2020,8,0,0
Japan,1/29/2020,7,0,1
Macao,1/29/2020,7,0,0
Malaysia,1/29/2020,7,0,0
Singapore,1/29/2020,7,0,0
Australia,1/29/2020,6,0,0
France,1/29/2020,5,0,0
US,1/29/2020,5,0,0
Germany,1/29/2020,4,0,0
